BRITE,KO,,,
ko03036 Chromosome and associated proteins,ko:K19870,,,
ko03036 Chromosome and associated proteins,ko:K20800,,,
ko03036 Chromosome and associated proteins,ko:K20877,,,
ko03036 Chromosome and associated proteins,ko:K21770,,,
ko03036 Chromosome and associated proteins,ko:K21771,,,
ko03036 Chromosome and associated proteins,ko:K21777,,,
ko04147 Exosome,ko:K05692,,,
ko04147 Exosome,ko:K03283,,,
ko04147 Exosome,ko:K04079,,,
ko04147 Exosome,ko:K03231,,,
ko04147 Exosome,ko:K07374,,,
ko04147 Exosome,ko:K04551,,,
ko04147 Exosome,ko:K07375,,,
ko04147 Exosome,ko:K04455,,,
ko04147 Exosome,ko:K00058,,,
ko04147 Exosome,ko:K00002,,,
ko04147 Exosome,ko:K09542,,,
ko04147 Exosome,ko:K15102,,,
ko04147 Exosome,ko:K00036,,,
ko04147 Exosome,ko:K12313,,,
ko04147 Exosome,ko:K12314,,,
ko04147 Exosome,ko:K12315,,,
ko04147 Exosome,ko:K12751,,,
ko04147 Exosome,ko:K10352,,,
ko04147 Exosome,ko:K12757,,,
ko04147 Exosome,ko:K00134,,,
ko04147 Exosome,ko:K00088,,,
ko04147 Exosome,ko:K00106,,,
ko04147 Exosome,ko:K00382,,,
ko04147 Exosome,ko:K00927,,,
ko04147 Exosome,ko:K00873,,,
ko04147 Exosome,ko:K00665,,,
ko04147 Exosome,ko:K00910,,,
ko04147 Exosome,ko:K00933,,,
ko04147 Exosome,ko:K00939,,,
ko04147 Exosome,ko:K00849,,,
ko04147 Exosome,ko:K00700,,,
ko04147 Exosome,ko:K00602,,,
ko04147 Exosome,ko:K00522,,,
ko04147 Exosome,ko:K00545,,,
ko04147 Exosome,ko:K01053,,,
ko04147 Exosome,ko:K01251,,,
ko04147 Exosome,ko:K01275,,,
ko04147 Exosome,ko:K01206,,,
ko04147 Exosome,ko:K01205,,,
ko04147 Exosome,ko:K01312,,,
ko04147 Exosome,ko:K01279,,,
ko04147 Exosome,ko:K01623,,,
ko04147 Exosome,ko:K01689,,,
ko04147 Exosome,ko:K01528,,,
ko04147 Exosome,ko:K01648,,,
ko04147 Exosome,ko:K01539,,,
ko04147 Exosome,ko:K01363,,,
ko04147 Exosome,ko:K01395,,,
ko04147 Exosome,ko:K01379,,,
ko04147 Exosome,ko:K01593,,,
ko04147 Exosome,ko:K01464,,,
ko04147 Exosome,ko:K01555,,,
ko04147 Exosome,ko:K01315,,,
ko04147 Exosome,ko:K01810,,,
ko04147 Exosome,ko:K01897,,,
ko04147 Exosome,ko:K01940,,,
ko04147 Exosome,ko:K01915,,,
ko04147 Exosome,ko:K01698,,,
ko04147 Exosome,ko:K01900,,,
ko04147 Exosome,ko:K01803,,,
ko04147 Exosome,ko:K01834,,,
ko04147 Exosome,ko:K02725,,,
ko04147 Exosome,ko:K02358,,,
ko04147 Exosome,ko:K02503,,,
ko04147 Exosome,ko:K02154,,,
ko04147 Exosome,ko:K02147,,,
ko04147 Exosome,ko:K02183,,,
ko04147 Exosome,ko:K02977,,,
ko04147 Exosome,ko:K03098,,,
ko04147 Exosome,ko:K03767,,,
ko04147 Exosome,ko:K03386,,,
ko04147 Exosome,ko:K03234,,,
ko04147 Exosome,ko:K03178,,,
ko04147 Exosome,ko:K03250,,,
ko04147 Exosome,ko:K03249,,,
ko04147 Exosome,ko:K03257,,,
ko04147 Exosome,ko:K03522,,,
ko04147 Exosome,ko:K03247,,,
ko04147 Exosome,ko:K04630,,,
ko04147 Exosome,ko:K04537,,,
ko04147 Exosome,ko:K04646,,,
ko04147 Exosome,ko:K04437,,,
ko04147 Exosome,ko:K04077,,,
ko04147 Exosome,ko:K04043,,,
ko04147 Exosome,ko:K04382,,,
ko04147 Exosome,ko:K04799,,,
ko04147 Exosome,ko:K04536,,,
ko04147 Exosome,ko:K04392,,,
ko04147 Exosome,ko:K04513,,,
ko04147 Exosome,ko:K04371,,,
ko04147 Exosome,ko:K04644,,,
ko04147 Exosome,ko:K03841,,,
ko04147 Exosome,ko:K04534,,,
ko04147 Exosome,ko:K04538,,,
ko04147 Exosome,ko:K05765,,,
ko04147 Exosome,ko:K05759,,,
ko04147 Exosome,ko:K05768,,,
ko04147 Exosome,ko:K05681,,,
ko04147 Exosome,ko:K05699,,,
ko04147 Exosome,ko:K05658,,,
ko04147 Exosome,ko:K05664,,,
ko04147 Exosome,ko:K05236,,,
ko04147 Exosome,ko:K06630,,,
ko04147 Exosome,ko:K06564,,,
ko04147 Exosome,ko:K06698,,,
ko04147 Exosome,ko:K06238,,,
ko04147 Exosome,ko:K06573,,,
ko04147 Exosome,ko:K07937,,,
ko04147 Exosome,ko:K07936,,,
ko04147 Exosome,ko:K07874,,,
ko04147 Exosome,ko:K07875,,,
ko04147 Exosome,ko:K07877,,,
ko04147 Exosome,ko:K07887,,,
ko04147 Exosome,ko:K07889,,,
ko04147 Exosome,ko:K07897,,,
ko04147 Exosome,ko:K07901,,,
ko04147 Exosome,ko:K07939,,,
ko04147 Exosome,ko:K07904,,,
ko04147 Exosome,ko:K07938,,,
ko04147 Exosome,ko:K07940,,,
ko04147 Exosome,ko:K07893,,,
ko04147 Exosome,ko:K07825,,,
ko04147 Exosome,ko:K08486,,,
